Step	Training Loss
1074	1.865900
1075	1.945300
1076	1.811400
1077	2.026700
1078	1.682000
1079	1.614200
1080	1.754000
1081	1.769500
1082	1.785900
1083	1.721100
1084	1.650100
1085	1.622500
1086	1.596700
1087	1.709700
1088	1.509600
1089	1.714500
1090	1.728000
1091	1.868000
1092	1.626600
1093	1.954400
1094	1.647700
1095	1.791100
1096	1.640700
1097	1.847400
1098	1.585100
1099	1.831700
1100	1.619500
1101	1.331400
1102	1.980000
1103	2.033600
1104	1.856500
1105	1.856300
1106	2.067700
1107	1.713500
1108	1.858500
1109	1.831600
1110	1.655100
1111	1.839000
1112	2.154300
1113	1.971400
1114	1.564200
1115	1.623600
1116	1.686700
1117	1.192500
1118	1.930500
1119	1.444300
1120	1.669600
1121	1.889200
1122	1.849800
1123	1.902000
1124	1.566400
1125	1.551200
1126	1.604700
1127	1.824700
1128	2.134700
1129	1.893800
1130	1.735200
1131	1.772500
1132	1.466100
1133	1.743400
1134	1.596500
1135	1.693900
1136	1.734900
1137	1.578200
1138	1.479800
1139	1.408000
1140	1.967800
1141	1.850300
1142	1.753500
1143	1.790900
1144	1.767800
1145	1.564600
1146	1.754300
1147	1.750100
1148	2.102600
1149	1.710200
1150	1.690900
1151	1.840400
1152	1.722700
1153	1.860900
1154	1.769200
1155	1.980400
1156	1.812200
1157	1.796400
1158	1.518400
1159	2.011800
1160	1.863600
1161	1.864200
1162	1.761900
1163	1.571900
1164	1.827200
1165	2.012100
1166	1.871900
1167	1.892500
1168	1.693900
1169	1.693400
1170	1.973100
1171	1.600600
1172	1.885500
1173	1.633400
1174	1.669400
1175	1.836100
1176	2.001200
1177	1.777700
1178	2.012000
1179	2.015100
1180	1.879300
1181	2.093100
1182	2.064500
1183	1.597800
1184	1.683000
1185	1.919000
1186	1.837300
1187	1.804700
1188	1.632900
1189	1.861700
1190	1.883700
1191	1.461800
1192	1.447900
1193	1.765100
1194	1.950100
1195	1.730100
1196	1.630700
1197	1.137800
1198	2.055500
1199	1.761300
1200	1.867700
1201	1.423900
1202	1.807000
1203	1.548700
1204	1.314000
1205	1.919100
1206	1.364700
1207	1.647900
1208	1.993200
1209	1.820000
1210	1.953400
1211	1.449600
1212	1.677600
1213	1.699600
1214	1.525400
1215	1.579500
1216	1.540700
1217	1.757700
1218	1.774300
1219	2.127400
1220	1.519500
1221	1.659700
1222	1.682700
1223	1.847900
1224	1.833000
1225	1.741300
1226	1.630200
1227	1.707600
1228	1.630300
1229	1.657100
1230	1.910500
1231	1.956700
1232	1.773200
1233	1.953100
1234	1.777400
1235	1.731300
1236	1.899600
1237	1.577700
1238	1.915100
1239	1.862800
1240	1.884900
1241	1.808600
1242	1.680500
1243	2.042700
1244	1.674900
1245	1.717800
1246	1.946200
1247	1.783900
1248	1.471600
1249	1.520000
1250	1.666800
1251	1.659500
1252	1.933100
1253	1.782000
1254	1.967400
1255	1.638200
1256	1.951400
1257	1.357400
1258	1.818600
1259	1.922600
1260	1.858400
1261	1.865400
1262	1.312400
1263	1.702400
1264	1.733700
1265	1.867600
1266	1.656400
1267	1.926900
1268	1.404900
1269	1.991900
1270	1.681500
1271	1.928800
1272	1.919400
1273	1.295600
1274	1.667600
1275	2.004100
1276	1.902800
1277	1.830300
1278	1.750900
1279	1.814000
1280	1.347500
1281	1.421900
1282	1.882300
1283	1.869100
1284	1.918700
1285	1.550600
1286	1.753000
1287	1.805100
1288	1.636600
1289	1.903100
1290	1.912500
1291	1.830900
1292	1.766100
1293	1.729300
1294	1.704400
1295	1.823200
1296	1.810200
1297	1.766100
1298	1.957600
1299	1.732600
1300	1.512400
1301	1.810800
1302	1.790700
1303	1.772300
1304	1.390400
1305	1.940400
1306	1.844300
1307	1.901600
1308	1.952100
1309	1.776900
1310	1.803300
1311	1.734800
1312	1.629600
1313	1.632100
1314	1.655100
1315	1.518200
1316	1.629400
1317	1.995700
1318	1.572900
1319	1.366300
1320	1.716000
1321	1.649500
1322	1.392600
1323	1.601400
1324	1.793700
1325	1.749200
1326	1.991600
1327	1.807800
1328	1.995100
1329	1.695700
1330	1.663400
1331	1.958100
1332	1.585900
1333	1.810200
1334	1.681400
1335	1.809700
1336	1.892700
1337	1.742900
1338	2.069000
1339	1.914600
1340	1.661700
1341	1.695900
1342	2.152100
1343	1.950000
1344	1.820900
1345	1.504000
1346	1.934900
1347	1.689300
1348	2.024500
1349	1.498700
1350	1.807700
1351	2.055500
1352	1.792700
1353	2.005000
1354	1.640800
1355	1.789600
1356	1.789400
1357	1.642700
1358	1.858400
1359	1.778100
1360	1.799000
1361	1.883700
1362	1.813700
1363	1.978100
1364	1.702600
1365	1.475200
1366	1.558900
1367	1.766800
1368	1.827700
1369	1.587700
1370	1.764200
1371	1.708600
1372	1.552700
1373	1.573000
1374	1.824400
1375	1.777600
1376	1.766800
1377	1.585500
1378	1.268500
1379	2.226800
1380	1.443200
1381	1.438400
1382	1.862000
1383	2.117600
1384	1.705500
1385	1.843700
1386	1.757200
1387	1.861100
1388	1.934300
1389	1.461200
1390	1.866400
1391	1.932800
1392	1.488200
1393	1.929000
1394	1.623400
1395	1.595500
1396	1.606200
1397	2.101900
1398	1.368000
1399	1.524600
1400	1.840700
1401	1.858600
1402	1.594600
1403	1.794400
1404	1.579500
1405	1.303500
1406	1.562100
1407	2.026400
1408	1.334300
1409	1.845200
1410	1.851500
1411	1.817500
1412	2.106100
1413	1.878900
1414	1.880200
1415	2.077900
1416	1.563000
1417	1.779200
1418	2.009400
1419	1.695500
1420	1.712400
1421	1.972900
1422	1.664200
1423	1.684900
1424	1.954300
1425	1.984500
1426	1.699200
1427	1.882600
1428	1.593400
1429	1.260900
1430	1.719100
1431	1.958400
1432	1.732100
1433	1.695900
1434	1.691500
1435	1.746000
1436	2.023800
1437	1.780900
1438	1.891100
1439	1.612800
1440	1.624700
1441	2.034600
1442	1.668300
1443	1.500300
1444	1.993800
1445	1.942800
1446	1.577200
1447	1.202900
1448	1.911700
1449	1.623100
1450	1.694600
1451	1.830400
1452	1.759400
1453	1.523300
1454	1.308000
1455	1.722500
1456	2.196600
1457	1.886000
1458	1.774200
1459	1.558800
1460	1.655000
1461	1.851600
1462	1.873300
1463	1.770500
1464	1.624000
1465	1.621400
1466	1.950100
1467	1.773500
1468	1.712300
1469	1.855700
1470	2.045800
1471	1.286700
1472	1.421200
1473	1.257800
1474	1.790800
1475	1.839700
1476	1.951800
1477	1.864000
1478	1.833500
1479	2.070600
1480	1.873000
1481	1.601400
1482	1.952800
1483	1.703200
1484	1.177300
1485	1.667600
1486	1.818300
1487	1.647000
1488	1.324800
1489	1.720700
1490	1.546500
1491	1.544000
1492	1.571300
1493	1.687300
1494	1.964700
1495	2.072500
1496	1.767900
1497	1.938900
1498	1.317300
1499	1.983000
1500	1.601300
1501	1.773200
1502	1.349800
1503	1.948400
1504	1.838400
1505	2.096600
1506	1.903100
1507	1.616400
1508	2.016300
1509	1.970100
1510	1.694200
1511	2.112200
1512	1.746100
1513	1.563100
1514	1.520700
1515	1.806600
1516	1.710000
1517	1.624800
1518	1.931800
1519	1.923300
1520	1.559400
1521	1.975700
1522	1.948400
1523	1.897700
1524	1.278500
1525	1.838600
1526	1.750800
1527	1.703600
1528	1.707200
1529	2.001900
1530	1.943200
1531	2.170400
1532	1.797100
1533	1.590000
1534	1.180400
1535	1.445300
1536	1.767900
1537	1.871300
1538	1.754600
1539	1.764800
1540	1.797200
1541	1.661500
1542	1.858600
1543	1.771800
1544	1.855500
1545	1.893800
1546	1.556100
1547	1.942000
1548	1.648200
1549	1.365100
1550	1.747900
1551	1.853100
1552	1.684500
1553	1.756500
1554	1.577800
1555	1.600800
1556	1.560900
1557	1.667800
1558	1.733500
1559	1.659600
1560	1.916800
1561	2.023000
1562	1.714800
1563	1.979600
1564	1.939800
1565	1.884400
1566	1.753500
1567	1.691000
1568	1.476000
1569	1.794200
1570	1.689100
1571	1.582800
1572	1.666700
1573	1.725600
1574	1.891100
1575	1.484000
1576	1.816800
1577	1.770900
1578	1.811200
1579	1.586300
1580	1.890000
1581	1.712100
1582	1.685400
1583	1.785500
1584	1.969700
1585	1.821000
1586	1.588900
1587	1.759300
1588	1.917000
1589	2.064000
1590	1.439500
1591	1.833900
1592	1.735400
1593	1.821500
1594	1.272900
1595	1.932600
1596	1.400800
1597	1.696000
1598	1.785500
1599	1.658500
1600	1.805000
1601	1.974800
1602	1.641500
1603	1.248400
1604	1.718000
1605	1.784000
1606	1.743900
1607	1.550200
1608	1.927000
1609	1.575000
1610	1.535700
1611	2.177400
1612	1.826700
1613	1.833600
1614	1.560100
1615	2.022000
1616	1.569500
1617	1.975600
1618	1.905600
1619	1.777500
1620	1.966100
1621	1.558700
1622	1.454000
1623	1.526700
1624	1.885200
1625	1.962700
1626	1.811900
1627	1.775000
1628	1.493900
1629	1.621000
1630	1.936400
1631	1.954300
1632	1.587800
1633	1.303800
1634	1.852200
1635	1.747500
1636	1.548300
1637	1.669400
1638	1.656500
1639	1.794400
1640	1.661700
1641	1.992500
1642	1.852800
1643	1.543500
1644	1.631100
1645	1.901800
1646	1.675900
1647	2.010200
1648	1.999800
1649	1.361200
1650	1.610200
1651	1.812500
1652	2.051300
1653	1.961500
1654	1.920400
1655	1.933500
1656	1.574700
1657	1.911600
1658	1.458600
1659	1.938800
1660	1.833000
1661	1.754400
1662	1.978100
1663	1.647000
1664	1.935600
1665	1.501300
1666	1.664600
1667	1.634400
1668	1.626000
1669	1.585800
1670	1.938900
1671	1.479400
1672	1.823200
1673	2.054500
1674	1.606000
1675	1.744900
1676	1.650600
1677	1.583400
1678	1.864400
1679	1.881100
1680	1.850600
1681	1.924000
1682	1.890800
1683	1.976500
1684	1.762900
1685	1.722800
1686	1.733100
1687	1.371200
1688	1.941300
1689	1.740100
1690	1.935700
1691	1.656000
1692	2.003100
1693	1.950500
1694	1.465500
1695	1.684600
1696	1.604000
1697	1.814800
1698	1.911800
1699	1.955300
1700	1.769700
1701	1.870300
1702	1.827900
1703	1.464300
1704	1.832500
1705	1.895900
1706	2.067600
1707	1.679800
1708	1.727900
1709	1.944800
1710	1.813700
1711	1.685600
1712	1.792300
1713	1.944900
1714	1.887500
1715	1.281700
1716	2.032400
1717	2.032200
1718	1.669400
1719	1.842700
1720	1.595400
1721	1.568700
1722	1.905100
1723	1.083500
1724	1.915700
1725	1.988400
1726	1.486800
1727	1.820100
1728	1.722100
1729	1.875100
1730	1.932400
1731	1.648100
1732	1.757100
1733	1.651300
1734	1.732800
1735	1.843700
1736	1.963000
1737	1.602400
1738	1.873300
1739	1.860400
1740	1.479800
1741	1.861300
1742	1.876200
1743	1.786100
1744	1.636200
1745	1.563000
1746	1.688800
1747	1.665800
1748	1.912500
1749	2.110100
1750	1.945900
1751	1.998400
1752	1.884800
1753	1.606400
1754	1.688600
1755	1.637200
1756	1.731600
1757	1.355700
1758	1.659800
1759	1.911800
1760	1.640300
1761	1.637400
1762	1.791900
1763	1.647400
1764	1.790600
1765	1.728600
1766	1.979400
1767	1.838800
1768	2.001200
1769	1.516300
1770	1.682000
1771	1.576000
1772	1.816700
1773	1.769800
1774	1.766700
1775	1.475900
1776	2.048300
1777	2.092000
1778	2.047700
1779	1.614400
1780	1.977300
1781	1.918000
1782	1.964000
1783	2.027500
1784	1.548400
1785	1.644000
1786	1.885500
1787	1.948300
1788	1.806700
1789	1.830900
1790	2.008500
1791	1.966700
1792	2.010900
1793	1.892900
1794	2.131200
1795	2.008200
1796	1.550100
1797	1.606600
1798	1.673100
1799	1.400800
1800	2.019700
1801	1.912100
1802	1.823400
1803	1.965300
1804	1.761200
1805	1.379700
1806	1.509200
1807	1.981700
1808	1.986200
1809	1.495700
1810	1.712000
1811	1.681400
1812	2.014200
1813	1.557300
1814	1.825600
1815	1.614400
1816	1.713800
1817	1.561100
1818	1.534100
1819	1.815500
1820	1.748000
1821	1.625400
1822	1.895800
1823	1.467200
1824	1.336200
1825	1.660600
1826	1.942900
1827	1.667100
1828	1.819000
1829	1.950400
1830	1.716800
1831	1.491500
1832	1.597300
1833	1.866600
1834	1.708700
1835	1.673500
1836	1.319000
1837	1.776300
1838	1.816400
1839	1.817900
1840	1.517700
1841	1.663300
1842	1.649000
1843	1.917300
1844	1.814800
1845	1.917500
1846	1.707700
1847	1.716600
1848	1.374000
1849	1.881900
1850	1.566500
1851	1.633800
1852	1.717600
1853	1.847800
1854	1.365300
1855	1.385400
1856	1.939900
1857	1.786300
1858	2.008700
1859	1.690000
1860	1.806100
1861	1.664700
1862	1.968800
1863	1.879900
1864	1.720800
1865	1.690400
1866	1.696100
1867	1.886000
1868	1.611300
1869	2.053600
1870	1.803800
