Step	Training Loss
1200	1.868900
1201	1.407700
1202	1.808300
1203	1.539300
1204	1.319800
1205	1.924700
1206	1.373200
1207	1.648000
1208	1.985700
1209	1.820500
1210	1.953300
1211	1.450700
1212	1.679900
1213	1.703200
1214	1.527500
1215	1.586200
1216	1.539300
1217	1.753900
1218	1.775800
1219	2.235200
1220	1.514100
1221	1.658500
1222	1.683000
1223	1.846000
1224	1.840000
1225	1.742700
1226	1.628900
1227	1.701000
1228	1.633400
1229	1.659900
1230	1.919800
1231	1.953500
1232	1.766600
1233	1.948500
1234	1.788700
1235	1.738000
1236	1.906500
1237	1.585500
1238	1.915000
1239	1.861800
1240	1.887100
1241	1.940200
1242	1.682900
1243	2.046600
1244	1.677200
1245	1.716000
1246	1.943500
1247	1.789000
1248	1.474200
1249	1.518100
1250	1.663000
1251	1.655700
1252	1.944700
1253	1.780500
1254	1.972300
1255	1.641600
1256	1.946500
1257	1.366300
1258	1.893200
1259	1.923200
1260	1.861300
1261	1.862300
1262	1.322300
1263	1.697700
1264	1.737600
1265	1.863100
1266	1.652000
1267	1.933900
1268	1.407600
1269	1.990400
1270	1.672800
1271	1.933200
1272	1.923400
1273	1.291500
1274	1.665200
1275	2.008700
1276	1.908900
1277	1.836100
1278	1.747000
1279	1.818100
1280	1.349300
1281	1.421400
1282	1.881100
1283	1.873300
1284	1.917900
1285	1.564400
1286	1.760100
1287	1.806300
1288	1.642300
1289	1.905600
1290	1.900000
1291	1.834200
1292	1.771800
1293	1.725500
1294	1.703200
1295	1.830900
1296	1.809400
1297	1.763800
1298	1.960700
1299	1.731200
1300	1.508300
1301	1.819300
1302	1.787500
1303	1.779200
1304	1.397200
1305	1.944700
1306	1.842700
1307	1.901900
1308	1.945600
1309	1.780300
1310	1.808800
1311	1.740800
1312	1.624000
1313	1.628000
1314	1.654500
1315	1.522400
1316	1.635800
1317	2.000500
1318	1.571100
1319	1.363800
1320	1.734100
1321	1.645900
1322	1.381300
1323	1.593300
1324	1.795800
1325	1.748700
1326	1.993500
1327	1.810900
1328	1.991000
1329	1.698200
1330	1.666700
1331	1.960900
1332	1.589600
1333	1.810300
1334	1.685500
1335	1.812600
1336	1.892300
1337	1.735100
1338	2.066700
1339	1.913000
1340	1.665900
1341	1.696100
1342	2.152100
1343	1.953300
1344	1.823000
1345	1.505200
1346	1.937200
1347	1.690800
1348	2.019500
1349	1.497300
1350	1.802800
1351	2.074000
1352	1.793000
1353	2.004200
1354	1.641500
1355	1.796000
1356	1.789800
1357	1.645000
1358	1.854000
1359	1.782000
1360	1.765500
1361	1.885800
1362	1.817200
1363	1.982000
1364	1.702300
1365	1.470200
1366	1.559400
1367	1.765600
1368	1.829000
1369	1.602500
1370	1.765500
1371	1.710900
1372	1.552700
1373	1.577400
1374	1.831700
1375	1.773900
1376	1.766600
1377	1.589800
1378	1.265700
1379	2.226000
1380	1.438400
1381	1.436000
1382	1.863800
1383	2.116900
1384	1.709300
1385	1.847200
1386	1.765200
1387	1.863700
1388	1.934500
1389	1.463500
1390	1.865300
1391	1.939600
1392	1.483900
1393	1.933800
1394	1.623600
1395	1.597000
1396	1.604100
1397	2.097700
1398	1.373000
1399	1.523300
1400	1.841400
1401	1.856800
1402	1.604700
1403	1.801600
1404	1.582300
1405	1.297500
1406	1.567500
1407	2.021200
1408	1.325500
1409	1.841900
1410	1.859900
1411	1.819200
1412	2.114500
1413	1.876600
1414	1.884500
1415	2.086900
1416	1.563600
1417	1.780700
1418	2.007400
1419	1.701100
1420	1.714900
1421	1.976200
1422	1.670200
1423	1.675700
1424	1.991600
1425	1.989100
1426	1.698900
1427	1.883900
1428	1.596800
1429	1.267600
1430	1.725400
1431	1.965500
1432	1.733400
1433	1.703600
1434	1.690900
1435	1.746500
1436	2.026200
1437	1.786600
1438	1.897700
1439	1.623600
1440	1.637900
1441	2.039800
1442	1.679500
1443	1.504500
1444	1.996900
1445	1.944300
1446	1.582800
1447	1.200000
1448	1.918200
1449	1.623600
1450	1.696100
1451	1.837300
1452	1.764500
1453	1.521600
1454	1.311200
1455	1.727600
1456	2.194300
1457	1.886700
1458	1.775300
1459	1.555600
1460	1.655500
1461	1.852700
1462	1.878800
1463	1.771800
1464	1.634000
1465	1.630900
1466	1.952500
1467	1.774500
1468	1.695500
1469	1.864300
1470	2.052900
1471	1.285800
1472	1.424400
1473	1.264000
1474	1.793400
1475	1.840500
1476	1.952600
1477	1.861800
1478	1.832000
1479	2.074200
1480	1.873800
1481	1.610600
1482	1.956300
1483	1.702200
1484	1.173700
1485	1.664000
1486	1.818400
1487	1.643900
1488	1.331200
1489	1.717700
1490	1.563200
1491	1.545500
1492	1.572000
1493	1.695900
1494	1.966500
1495	2.078400
1496	1.773000
1497	1.943900
1498	1.325900
1499	1.984400
1500	1.596300
1501	1.772700
1502	1.357700
1503	1.948800
1504	1.846400
1505	2.226800
1506	1.909000
1507	1.623100
1508	2.023400
1509	1.970700
1510	1.690000
1511	2.114100
1512	1.745500
1513	1.570600
1514	1.519800
1515	1.999500
1516	1.717900
1517	1.626300
1518	1.928100
1519	1.925000
1520	1.569600
1521	1.974600
1522	1.950100
1523	1.899700
1524	1.276100
1525	1.837800
1526	1.751500
1527	1.706400
1528	1.699000
1529	2.004200
1530	1.947400
1531	2.173400
1532	1.803400
1533	1.587900
1534	1.180800
1535	1.449600
1536	1.763400
1537	1.877800
1538	1.760700
1539	1.764900
1540	1.799600
1541	1.670500
1542	1.860000
1543	1.785700
1544	1.964600
1545	1.896300
1546	1.555200
1547	1.949100
1548	1.642300
1549	1.376800
1550	1.750500
1551	1.858500
1552	1.687800
1553	1.755400
1554	1.577100
1555	1.601600
1556	1.565600
1557	1.677900
1558	1.733300
1559	1.663900
1560	1.922400
1561	2.020200
1562	1.724400
1563	1.981000
1564	1.942100
1565	1.882200
1566	1.758700
1567	1.697700
1568	1.473800
1569	1.800700
1570	1.693600
1571	1.589400
1572	1.669600
1573	1.712800
1574	1.895400
1575	1.489900
1576	1.815100
1577	1.770100
1578	1.816900
1579	1.580200
1580	1.884300
1581	1.715100
1582	1.685100
1583	1.777700
1584	1.965800
1585	1.817700
1586	1.608200
1587	1.758100
1588	1.918900
1589	2.074800
1590	1.433400
1591	1.837900
1592	1.739100
1593	1.812200
1594	1.279500
1595	1.930500
1596	1.402800
1597	1.697800
1598	1.784800
1599	1.657700
1600	1.806200
1601	1.969400
1602	1.651100
1603	1.226600
1604	1.723800
1605	1.788900
1606	1.739900
1607	1.549200
1608	1.929800
1609	1.575300
1610	1.533400
1611	2.173900
1612	1.825100
1613	1.840300
1614	1.558200
1615	2.029600
1616	1.574100
1617	1.980100
1618	1.907100
1619	1.777600
1620	1.968200
1621	1.553400
1622	1.457400
1623	1.531500
1624	1.886100
1625	1.960400
1626	1.797900
1627	1.780400
1628	1.494900
1629	1.624700
1630	1.937100
1631	1.954200
1632	1.595800
1633	1.290500
1634	1.852300
1635	1.748500
1636	1.548600
1637	1.665000
1638	1.657800
1639	1.791100
1640	1.661700
1641	1.999900
1642	1.855000
1643	1.546800
1644	1.638100
1645	1.905300
1646	1.683700
1647	2.009200
1648	2.245800
1649	1.359700
1650	1.614500
1651	1.808600
1652	2.050500
1653	1.958100
1654	1.923100
1655	1.928400
1656	1.577600
1657	1.908400
1658	1.452100
1659	1.937400
1660	1.835100
1661	1.756500
1662	1.989100
1663	1.651600
1664	1.938800
1665	1.504600
1666	1.655700
1667	1.635900
1668	1.629300
1669	1.601800
1670	1.947600
1671	1.477100
1672	1.826900
1673	2.053100
1674	1.602100
1675	1.750200
1676	1.680500
1677	1.584200
1678	1.864400
1679	1.878200
1680	1.900800
1681	1.930400
1682	1.895100
1683	1.981200
1684	1.775500
1685	1.720200
1686	1.739000
1687	1.372900
1688	1.944200
1689	1.741800
1690	1.941100
1691	1.660700
1692	2.008000
1693	1.953400
1694	1.474800
1695	1.685400
1696	1.598900
1697	1.815500
1698	1.912600
1699	1.956700
1700	1.776100
1701	1.863700
1702	1.826600
1703	1.466100
1704	1.833800
1705	1.894200
1706	2.108500
1707	1.668300
1708	1.726600
1709	1.950500
1710	1.809900
1711	1.691700
1712	1.798300
1713	1.947600
1714	1.895500
1715	1.231200
